Date,Line,Machine,Product,Units,Defects,Downtime_mins,Alarm_Code,Operating_Temp,Operating_Pressure,Maintenance_Done,"Comments  "
1/1/2023,1,Press 1,Widget A,9500,12,,,465,3600,No,"Normal production  "
1/1/2023,1,Press 2,Widget B,9300,8,,,475,3500,No,Normal production
1/2/2023,1,Press 1,Widget A,9300,15,,,460,3550,No,"Normal production "
1/2/2023,1,Press 2,Widget B,9200,10,,,470,3480,No,Normal production
1/3/2023,1,Press 1,Widget A,0,0,240,AL21,240,1157,Yes,Hydraulic line failure
1/4/2023,1,Press 1,Widget A,8900,11,,,465,3600,Yes,Hydraulic line replaced
1/5/2023,1,Press 1,Widget A,9100,10,,,460,3620,No,"Return to normal "
1/8/2023,1,Press 2,Widget B,9000,13,,,480,3400,No,Normal production
1/9/2023,1,Press 2,Widget B,9200,15,,,475,3500,No,"Normal production  "
1/10/2023,1,Press 2,Widget B,9000,12,,,470,3450,No,Normal production
1/11/2023,1,Press 2,Widget B,9100,10,,,465,3480,No,Normal production
1/12/2023,1,Press 2,Widget B,9300,8,,,460,3520,No,Normal production
1/15/2023,2,Press 3,Widget C,9300,8,,,450,3700,No,"Normal production "
1/16/2023,2,Press 3,Widget C,9100,10,,,455,3600,No,Normal production
1/17/2023,2,Press 3,Widget C,9000,9,,,460,3550,No,"Normal production  "
1/18/2023,2,Press 3,Widget C,9200,7,,,465,3580,No,Normal production
1/19/2023,2,Press 3,Widget C,9300,6,,,460,3600,No,"Normal production "
1/20/2023,2,Press 3,Widget C,9100,8,,,455,3570,No,Normal production
1/21/2023,2,Press 3,Widget C,0,0,90,AL09,405,0,Yes,Control failure
1/22/2023,2,Press 3,Widget C,8900,9,,,465,3600,Yes,"Controller replaced "
1/23/2023,2,Press 3,Widget C,9200,7,,,460,3620,No,Normal operation
1/24/2023,2,Press 3,Widget C,9300,9,,,465,3580,No,Normal production
1/25/2023,2,Press 3,Widget C,9100,8,,,460,3600,No,Normal production
2/1/2023,1,Press 1,Widget A,9000,10,,,465,3500,No,Normal operation
2/3/2023,1,Press 1,Widget A,9200,9,,,460,3600,No,"Normal production "
2/5/2023,1,Press 1,Widget A,9000,8,,,455,3550,No,Normal production
2/7/2023,1,Press 1,Widget A,9100,6,,,460,3580,No,"Normal production  "
2/9/2023,1,Press 1,Widget A,9300,5,,,465,3600,No,Normal production
2/11/2023,1,Press 1,Widget A,9200,7,,,460,3570,No,Normal production
2/13/2023,1,Press 1,Widget A,9000,9,,,465,3590,No,Normal production
2/15/2023,1,Press 1,Widget A,9100,8,,,460,3600,No,Normal production
2/15/2023,1,Press 2,Widget B,,,,,,,Planned maintenance,
2/16/2023,1,Press 2,Widget B,9100,9,,,470,3400,No,Normal production
2/17/2023,1,Press 2,Widget B,9000,10,,,465,3500,No,Normal production
2/19/2023,1,Press 2,Widget B,9200,8,,,460,3520,No,"Normal production   "
2/21/2023,1,Press 2,Widget B,9300,6,,,465,3550,No,Normal production
2/23/2023,1,Press 2,Widget B,9100,8,,,460,3480,No,Normal production
2/25/2023,1,Press 2,Widget B,9000,7,,,465,3500,No,Normal production
2/27/2023,1,Press 2,Widget B,9200,5,,,470,3520,No,Normal production
2/28/2023,1,Press 2,Widget B,9300,6,,,475,3550,No,Normal production
2/28/2023,2,Press 3,Widget C,9000,8,,,455,3600,No,"Normal production  "
3/1/2023,2,Press 3,Widget C,9200,9,,,460,3580,No,Normal production
3/2/2023,2,Press 3,Widget C,9100,7,,,460,3570,No,Normal production
3/4/2023,2,Press 3,Widget C,9200,6,,,465,3540,No,"Normal production "
3/6/2023,2,Press 3,Widget C,9300,8,,,460,3560,No,Normal production
3/8/2023,2,Press 3,Widget C,9100,9,,,455,3600,No,Normal production
3/10/2023,2,Press 3,Widget C,9000,7,,,450,3570,No,Normal production
3/12/2023,2,Press 3,Widget C,9200,8,,,455,3580,No,Normal production
3/14/2023,2,Press 3,Widget C,9300,10,,,460,3600,No," Normal production  "
3/15/2023,2,Press 3,Widget C,9000,10,,,450,3560,No,Normal production
3/17/2023,2,Press 3,Widget C,9100,9,,,455,3570,No,"Normal production "
3/19/2023,2,Press 3,Widget C,9200,7,,,455,3600,No,Normal production
3/21/2023,2,Press 3,Widget C,9300,6,,,460,3620,No,Normal production
3/23/2023,1,Press 1,Widget A,9200,8,,,465,3500,No,Normal production
3/25/2023,1,Press 1,Widget A,9100,8,,,455,3500,No,"Normal production  "
3/27/2023,1,Press 1,Widget A,9000,9,,,460,3550,No,"Normal production "
3/29/2023,1,Press 1,Widget A,9200,7,,,465,3600,No,Normal production
3/31/2023,1,Press 1,Widget A,9300,6,,,460,3620,No,Normal production
3/31/2023,1,Press 2,Widget B,9300,8,,,470,3400,No,Normal production
